"OpCode","mean.relief","sd.relief","fov.Limited","fov.Open","broad.Consolidated","broad.Macroalgae","broad.Octocoral.Black","broad.Sponges","broad.Stony.corals","broad.Unconsolidated","broad.Reef"
"MNCB324",1,0,0,100,0,1,0,0,0,0,1
"MNCB325",1,0,0,100,0,0.9,0,0,0,0.1,0.9
"MNCB326",1,0,0,100,0,1,0,0,0,0,1
"MNCB327",1,0,0,100,0,0.933333333333333,0,0,0,0.0666666666666667,0.933333333333333
"MNCB328",1,0,0,100,0,1,0,0,0,0,1
"MNCB329",0.4,0.516397779494322,0,100,0,0.8,0.2,0,0,0,1
"MNCB330",1.06666666666667,0.593616839704664,0,100,0,0.866666666666667,0.0666666666666667,0,0.0666666666666667,0,0.933333333333333
"MNCB331",2.1,1.0711528467276,0,100,0.75,0,0,0,0.25,0,0.75
"MNCB332",1,0,0,100,0,1,0,0,0,0,1
"MNCB333",1,0,0,100,0,1,0,0,0,0,1
"MNCB334",1,0,0,100,0,0.866666666666667,0,0,0.133333333333333,0,0.866666666666667
"MNCB335",1,0,0,0,0,0.571428571428571,0,0,0,0.428571428571429,0.571428571428571
"MNCB336",1,0,0,100,0,1,0,0,0,0,1
"MNCB337",2.52941176470588,1.32842232831014,0,0,0.235294117647059,0,0,0,0.764705882352941,0,0.235294117647059
"MNCB338",1.8,0.836660026534076,0,100,0,0,0.2,0,0.4,0.4,0.2
"MNCB339",1,0,0,100,0,1,0,0,0,0,1
"MNCB340",0.8,0.421637021355784,0,100,0,1,0,0,0,0,1
"MNCB341",1,0,0,100,0,1,0,0,0,0,1
"MNCB342",0.6,0.516397779494322,0,100,0,0.9,0,0,0,0.1,0.9
"MNCB343",1,0,0,100,0,0.933333333333333,0,0,0,0.0666666666666667,0.933333333333333
"MNCB344",1,0,0,100,0,1,0,0,0,0,1
"MNCB345",1,0,0,100,0,1,0,0,0,0,1
"MNCB346",1,0,0,100,0.133333333333333,0.866666666666667,0,0,0,0,1
"MNCB347",2.05263157894737,1.7786912857656,0,100,0.0526315789473684,0,0,0,0.473684210526316,0.473684210526316,0.0526315789473684
"MNCB348",1.45,1.46808145478878,0,100,0,0,0,0,0.5,0.5,0
"MNCB349",1,0,0,100,0,1,0,0,0,0,1
"MNCB350",1,0,0,100,0,0.933333333333333,0,0,0,0.0666666666666667,0.933333333333333
"MNCB351",1,0,0,100,0,1,0,0,0,0,1
"MNCB352",1.1,0.316227766016838,0,100,0,0.9,0.1,0,0,0,1
"MNCB353",1.18181818181818,0.603022689155527,0,100,0,0.818181818181818,0,0,0.0909090909090909,0.0909090909090909,0.818181818181818
"MNCB354",1.63636363636364,1.02691063610494,0,100,0.363636363636364,0,0,0,0.272727272727273,0.363636363636364,0.363636363636364
"MNCB355",4,0.333333333333333,0,100,0,0,0,0,1,0,0
"MNCB356",3.66666666666667,0.778498944161523,0,100,0,0,0,0,1,0,0
"NCB1505",1,0,0,100,0,1,0,0,0,0,1
"NCB1506",1,0,0,100,0,1,0,0,0,0,1
"NCB1507",1,0,0,100,0,1,0,0,0,0,1
"NCB1508",0.928571428571429,0.267261241912424,0,100,0,0.642857142857143,0.0714285714285714,0,0.214285714285714,0.0714285714285714,0.714285714285714
"NCB1509",1,0,0,100,0,1,0,0,0,0,1
"NCB1510",2.07142857142857,0.267261241912424,0,100,1,0,0,0,0,0,1
"NCB1511",1,0,0,100,0,1,0,0,0,0,1
"NCB1512",0.9,0.316227766016838,0,100,0,0.9,0,0,0.1,0,0.9
"NCB1513",0.9,0.316227766016838,0,100,0,0.7,0,0,0.2,0.1,0.7
"NCB1514",0.5,0.512989176042577,0,100,0,0.25,0,0,0,0.75,0.25
"NCB1515",1,0,0,100,0,1,0,0,0,0,1
"NCB1516",1,0,0,100,0,0.692307692307692,0,0,0.307692307692308,0,0.692307692307692
"NCB1517",1.11111111111111,0.333333333333333,0,100,0,0.888888888888889,0,0,0.111111111111111,0,0.888888888888889
"NCB1518",0.888888888888889,0.333333333333333,0,100,0,0.666666666666667,0,0,0,0.333333333333333,0.666666666666667
"NCB1519",1,0,0,100,0,0.8,0.2,0,0,0,1
"NCB1520",1,0,0,100,0,0.833333333333333,0.166666666666667,0,0,0,1
"NCB1521",1,0,0,100,0,1,0,0,0,0,1
"NCB1522",1.06666666666667,0.258198889747161,0,100,0,0.866666666666667,0,0,0.133333333333333,0,0.866666666666667
"NCB1523",1,0.534522483824849,0,100,0,0.625,0,0,0.25,0.125,0.625
"NCB1524",1,0,0,100,0,0.8,0.1,0,0,0.1,0.9
"NCB1525",0.888888888888889,0.333333333333333,0,100,0.222222222222222,0.444444444444444,0,0,0,0.333333333333333,0.666666666666667
"NCB1526",1,0,0,100,0,0.9,0.1,0,0,0,1
"NCB1527",0,0,0,100,0,0,0,0,0,1,0
"NCB1528",2.05555555555556,0.937595311059234,0,100,0,0,0,0,1,0,0
"NCB1529",0.9,1.19721899973786,0,0,0.2,0,0,0,0.3,0.5,0.2
"NCB1531",1.2,0.447213595499958,0,100,0,0.8,0,0,0.2,0,0.8
"NCB1532",1,0,0,100,0,0.25,0.75,0,0,0,1
"NCB1533",1.125,0.353553390593274,0,100,0.25,0,0.25,0.125,0.125,0.25,0.5
"NCB1534",1,0.471404520791032,0,100,0,0.4,0,0,0,0.6,0.4
"NCB1545",0.571428571428571,0.786795792469443,0,100,0,0,0,0.142857142857143,0.142857142857143,0.714285714285714,0
"NCB1546",1,0,0,100,0,1,0,0,0,0,1
"NCB1547",0,0,0,100,0,0,0,0,0,1,0
"NCB1548",2.21428571428571,0.974961255922229,0,0,0.5,0,0.214285714285714,0.0714285714285714,0.142857142857143,0.0714285714285714,0.714285714285714
"NCB1549",0.684210526315789,1.10818327700728,0,100,0,0,0,0,0.263157894736842,0.736842105263158,0
"NCB1550",1.27272727272727,1.42062726222673,0,100,0,0,0,0,0.181818181818182,0.818181818181818,0
"NCB1551",1,0,0,100,0,0.888888888888889,0.111111111111111,0,0,0,1
"NCB1552",1,0,0,100,0,1,0,0,0,0,1
"NCB1553",1,0,0,100,0,0.666666666666667,0,0,0,0.333333333333333,0.666666666666667
"NCB1554",1.1,0.316227766016838,0,95,0,0.9,0.1,0,0,0,1
"NCB1555",0.166666666666667,0.408248290463863,0,100,0,0,0.333333333333333,0,0,0.666666666666667,0.333333333333333
"NCB1556",0.928571428571429,0.267261241912424,0,100,0,0,0.714285714285714,0.142857142857143,0,0.142857142857143,0.714285714285714
"NCB1557",1,0,0,100,0.333333333333333,0.333333333333333,0,0.166666666666667,0,0.166666666666667,0.666666666666667
"NCB1558",0.9,0.316227766016838,0,100,0,0.4,0.2,0,0,0.4,0.6
"NCB1559",1,0,0,100,0,1,0,0,0,0,1
"NCB1560",0.818181818181818,0.404519917477945,0,100,0,0.363636363636364,0.272727272727273,0,0,0.363636363636364,0.636363636363636
